Station Name,Station ID,Station Latitude,Station Longitude
W 52 St & 11 Ave,72,40.76727216,-73.99392888
Franklin St & W Broadway,79,40.71911552,-74.00666661
St James Pl & Pearl St,82,40.71117416,-74.00016545
Atlantic Ave & Fort Greene Pl,83,40.68382604,-73.97632328
Park Ave & St Edwards St,119,40.69608941,-73.97803415
Lexington Ave & Classon Ave,120,40.68676793,-73.95928168
Barrow St & Hudson St,127,40.73172428,-74.00674436
MacDougal St & Prince St,128,40.72710258,-74.00297088
Clinton St & Joralemon St,143,40.69239502,-73.99337909
Nassau St & Navy St,144,40.69839895,-73.98068914
Hudson St & Reade St,146,40.71625008,-74.0091059
E 2 St & Avenue C,150,40.7208736,-73.98085795
Cleveland Pl & Spring St,151,40.72210379,-73.99724901
Warren St & Church St,152,40.71473993,-74.00910627
Henry St & Atlantic Ave,157,40.69089272,-73.99612349
LaGuardia Pl & W 3 St,161,40.72917025,-73.99810231
E 47 St & 2 Ave,164,40.75323098,-73.97032517
E 39 St & 3 Ave,167,40.7489006,-73.97604882
W 18 St & 6 Ave,168,40.73971301,-73.99456405
Broadway & W 49 St,173,40.76068327,-73.98452729
E 25 St & 1 Ave,174,40.7381765,-73.97738662
Liberty St & Broadway,195,40.70905623,-74.01043382
W 16 St & The High Line,212,40.74334935,-74.00681753
Columbia Heights & Cranberry St,216,40.70037867,-73.99548059
Old Fulton St,217,40.70277159,-73.99383605
W 13 St & 7 Ave,223,40.73781509,-73.99994661
E 48 St & 3 Ave,228,40.7546011,-73.97187886
Great Jones St,229,40.72743423,-73.99379025
Cadman Plaza E & Tillary St,232,40.69597683,-73.99014892
St Marks Pl & 2 Ave,236,40.7284186,-73.98713956
E 11 St & 2 Ave,237,40.73047309,-73.98672378
Bank St & Washington St,238,40.7361967,-74.00859207
Willoughby St & Fleet St,239,40.69196566,-73.9813018
DeKalb Ave & S Portland Ave,241,40.68981035,-73.97493121
Carlton Ave & Flushing Ave,242,40.697787,-73.973736
Fulton St & Rockwell Pl,243,40.688226,-73.979382
Willoughby Ave & Hall St,244,40.69196035,-73.96536851
Myrtle Ave & St Edwards St,245,40.69327018,-73.97703874
Perry St & Bleecker St,247,40.73535398,-74.00483091
Laight St & Hudson St,248,40.72185379,-74.00771779
Harrison St & Hudson St,249,40.71870987,-74.0090009
Mott St & Prince St,251,40.72317958,-73.99480012
MacDougal St & Washington Sq,252,40.73226398,-73.99852205
W 13 St & 5 Ave,253,40.73543934,-73.99453948
W 11 St & 6 Ave,254,40.73532427,-73.99800419
Lispenard St & Broadway,257,40.71939226,-74.00247214
DeKalb Ave & Vanderbilt Ave,258,40.68940747,-73.96885458
South St & Whitehall St,259,40.70122128,-74.01234218
Broad St & Bridge St,260,40.70365182,-74.01167797
Johnson St & Gold St,261,40.69474881,-73.98362464
Washington Park,262,40.6917823,-73.9737299
Maiden Ln & Pearl St,264,40.70706456,-74.00731853
Stanton St & Chrystie St,265,40.72229346,-73.99147535
Avenue D & E 8 St,266,40.72368361,-73.97574813
Broadway & W 36 St,267,40.75097711,-73.98765428
Howard St & Centre St,268,40.71910537,-73.99973337
Adelphi St & Myrtle Ave,270,40.69308257,-73.97178913
Lafayette Ave & Fort Greene Pl,274,40.68691865,-73.976682
Washington Ave & Greene Ave,275,40.68650065,-73.96563307
Duane St & Greenwich St,276,40.71748752,-74.0104554
Concord St & Bridge St,278,40.69766564,-73.98476437
Peck Slip & Front St,279,40.707873,-74.00167
E 10 St & 5 Ave,280,40.73331967,-73.99510132
Grand Army Plaza & Central Park S,281,40.7643971,-73.97371465
Kent Ave & S 11 St,282,40.70764494,-73.96841526
Greenwich Ave & 8 Ave,284,40.73901691,-74.00263761
Broadway & E 14 St,285,40.73454567,-73.99074142
Monroe St & Classon Ave,289,40.6845683,-73.95881081
Madison St & Montgomery St,291,40.713126,-73.984844
Lafayette St & E 8 St,293,40.73020661,-73.99102628
Pike St & E Broadway,295,40.71406667,-73.99293911
Division St & Bowery,296,40.71413089,-73.9970468
E 15 St & 3 Ave,297,40.734232,-73.986923
E 2 St & Avenue B,301,40.72217444,-73.98368779
Avenue D & E 3 St,302,40.72082834,-73.97793172
Mercer St & Spring St,303,40.72362738,-73.99949601
Broadway & Battery Pl,304,40.70463334,-74.01361706
